B,B,B,W,W,N,N,N,N,N,N,N,N,N,W,W,W,W,B
N,B,W,W,N,W,N,N,N,N,N,W,W,N,W,B,W,B,B
N,B,W,B,W,W,N,N,N,W,W,B,W,W,B,B,B,B,N
N,N,B,B,B,W,W,W,W,B,B,B,W,B,B,B,B,N,N
N,N,B,W,W,B,B,B,B,B,N,B,W,B,W,W,B,N,N
N,N,B,W,W,W,B,W,B,W,B,N,B,B,W,W,B,N,N
N,N,N,B,B,W,W,W,W,W,B,B,W,W,W,B,N,N,N
N,N,B,B,W,N,W,B,B,B,B,B,W,B,W,B,B,B,B
N,N,B,W,W,N,W,B,B,W,W,B,W,B,W,W,B,W,B
N,B,W,N,N,N,W,W,B,B,W,B,B,B,B,W,W,W,W
N,B,W,N,N,N,W,B,B,B,W,W,W,W,W,B,N,W,N
B,B,W,N,N,W,B,B,W,W,N,N,N,N,N,N,W,N,N
W,B,W,W,W,W,W,W,W,B,N,N,N,N,N,W,B,W,W
W,W,W,B,B,B,W,B,B,W,W,N,N,N,N,W,B,W,W
N,W,B,B,B,B,B,N,B,W,W,N,N,N,W,B,B,B,W
W,W,W,W,W,B,N,B,N,B,B,W,W,W,W,W,B,B,W
B,W,B,W,W,B,N,W,B,B,W,W,B,B,W,W,W,B,B
B,B,B,B,B,N,N,N,N,N,B,B,N,B,B,N,B,B,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,B,N,N,N
